ticket,opening_time_utc,closing_time_utc,type,lots,symbol,opening_price,closing_price,stop_loss,take_profit,commission_usc,swap_usc,profit_usc,equity_usc,margin_level,close_reason
622079558,2025-12-09T02:07:01,2025-12-09T02:11:24,buy,0.25,XAUUSDc,4195.708,4193.155,0,0,0,0,-63.82,,,user
622079672,2025-12-09T02:07:07,2025-12-09T02:11:24,sell,0.25,XAUUSDc,4195.63,4193.315,0,0,0,0,57.87,,,user
622097038,2025-12-09T02:11:18,2025-12-09T02:11:23,buy,0.32,XAUUSDc,4192.405,4193.155,0,0,0,0,24,,,user
622063512,2025-12-09T02:03:27,2025-12-09T02:06:58,buy,0.25,XAUUSDc,4196.302,4195.322,0,0,0,0,-24.5,,,user
622063668,2025-12-09T02:03:38,2025-12-09T02:06:57,sell,0.25,XAUUSDc,4195.887,4195.329,0,0,0,0,13.95,,,user
622070241,2025-12-09T02:04:27,2025-12-09T02:06:57,sell,0.32,XAUUSDc,4196.527,4195.07,0,0,0,0,46.62,,,user
622047713,2025-12-09T02:01:01,2025-12-09T02:03:19,buy,0.25,XAUUSDc,4195.447,4196.093,0,0,0,0,16.15,,,user
622047853,2025-12-09T02:01:03,2025-12-09T02:03:19,sell,0.25,XAUUSDc,4195.187,4196.157,0,0,0,0,-24.25,,,user
622053978,2025-12-09T02:01:35,2025-12-09T02:03:19,buy,0.32,XAUUSDc,4195.225,4195.997,0,0,0,0,24.7,,,user
622011070,2025-12-09T01:50:16,2025-12-09T02:00:55,sell,0.25,XAUUSDc,4195.232,4195.276,0,0,0,0,-1.1,,,user
622010828,2025-12-09T01:50:18,2025-12-09T02:00:55,buy,0.25,XAUUSDc,4195.466,4195.116,0,0,0,0,-8.75,,,user
622015848,2025-12-09T01:51:51,2025-12-09T02:00:55,sell,0.32,XAUUSDc,4196.113,4195.23,0,0,0,0,28.26,,,user
621952663,2025-12-09T01:36:11,2025-12-09T01:50:14,sell,0.25,XAUUSDc,4196.149,4195.701,0,0,0,0,11.2,,,user
621953294,2025-12-09T01:36:14,2025-12-09T01:50:14,buy,0.25,XAUUSDc,4196.498,4195.541,0,0,0,0,-23.92,,,user
621969495,2025-12-09T01:39:21,2025-12-09T01:50:14,buy,0.32,XAUUSDc,4195.635,4195.541,0,0,0,0,-3.01,,,user
621995831,2025-12-09T01:47:00,2025-12-09T01:50:14,buy,0.41,XAUUSDc,4194.722,4195.541,0,0,0,0,33.58,,,user
621939274,2025-12-09T01:31:09,2025-12-09T01:36:08,buy,0.25,XAUUSDc,4195.886,4196.249,0,0,0,0,9.08,,,user
621939921,2025-12-09T01:31:20,2025-12-09T01:36:08,sell,0.25,XAUUSDc,4195.483,4196.409,0,0,0,0,-23.15,,,user
621941480,2025-12-09T01:33:12,2025-12-09T01:36:08,buy,0.32,XAUUSDc,4195.209,4196.249,0,0,0,0,33.28,,,user
621923323,2025-12-09T01:26:36,2025-12-09T01:31:06,buy,0.25,XAUUSDc,4195.816,4195.742,0,0,0,0,-1.85,,,user
621923646,2025-12-09T01:26:43,2025-12-09T01:31:06,sell,0.25,XAUUSDc,4195.571,4195.902,0,0,0,0,-8.27,,,user
621927794,2025-12-09T01:28:48,2025-12-09T01:31:06,buy,0.32,XAUUSDc,4194.897,4195.639,0,0,0,0,23.75,,,user
621889751,2025-12-09T01:16:19,2025-12-09T01:26:35,buy,0.25,XAUUSDc,4196.044,4195.495,0,0,0,0,-13.72,,,user
621889764,2025-12-09T01:16:20,2025-12-09T01:26:34,sell,0.25,XAUUSDc,4195.549,4195.655,0,0,0,0,-2.65,,,user
